default,t_risco,valor_emprestimo,prazo_pagamento,limite_credito,renda,signo,genero,perfil_facebook,n_emprestimos_inadiplentes
False,0.22,10023.55,36.0,59566.0,125028.84,,m,False,0.0
False,0.14,10024.69,36.0,23000.0,66047.07,scor,m,True,0.0
False,0.3,12153.09,36.0,86075.0,94531.4,,f,False,0.0
,0.34,14025.7,60.0,0.0,75048.05,libr,,,0.0
False,0.27,6026.13,36.0,11919.0,45017.45,,m,True,0.0
False,0.29,8529.94,36.0,37092.0,87428.07,,,True,0.0
False,0.35,5014.87,60.0,,82028.44,,m,False,0.0
False,0.23,9934.24,36.0,20231.0,54028.41,,f,False,0.0
False,0.43,12021.65,36.0,,47277.39,cance,m,False,0.0
False,0.31,17075.72,36.0,96884.0,92009.93,virg,m,,0.0
False,0.28,6007.73,60.0,,83012.43,,m,False,0.0
False,0.44,9020.65,36.0,,58024.46,libr,f,,0.0
False,0.3,10024.8,36.0,8059.0,62015.43,cance,f,True,0.0
False,0.42,10023.6,36.0,,31025.93,,,False,0.0
False,0.17,12016.31,36.0,,120026.36,leo,m,False,0.0
False,0.25,12013.16,36.0,,60023.08,,f,False,0.0
False,0.33,12017.64,36.0,13187.0,240028.91,scor,,False,0.0
False,0.33,11519.55,36.0,80055.0,65023.83,arie,m,,0.0
,0.43,12033.47,60.0,25090.0,77023.98,cance,,False,0.0
False,0.19,9145.42,36.0,1764.0,40021.89,virg,f,False,0.0
True,0.29,23554.29,60.0,29685.0,53012.0,cance,m,True,0.0
False,0.34,10030.62,36.0,53918.0,98023.01,cance,m,True,0.0
False,0.44,16031.53,36.0,22182.0,60026.57,virg,f,True,0.0
False,0.16,21864.0,36.0,27742.0,55015.32,virg,m,True,0.0
False,0.29,4782.66,36.0,6896.0,22018.1,,f,False,0.0
True,0.25,18015.69,60.0,17686.0,61035.92,,m,True,0.0
False,0.23,19026.56,36.0,0.0,60390.1,gemi,f,,0.0
True,0.15,30033.85,36.0,,97035.13,,m,True,0.0
False,0.17,2012.31,36.0,,14422.06,cance,m,False,0.0
False,0.25,18017.7,36.0,0.0,55419.5,,f,False,0.0
True,0.36,28032.75,36.0,,80043.09,pisce,m,True,0.0
True,0.33,21640.55,60.0,,58028.27,,m,False,0.0
False,0.27,9777.8,36.0,11812.0,64025.88,virg,m,False,0.0
False,0.41,10017.18,36.0,53962.0,50015.3,,m,False,0.0
False,0.05,12526.93,36.0,,62012.52,leo,m,False,0.0
False,0.24,5623.66,36.0,25715.0,33043.05,pisce,,False,0.0
False,0.28,6018.33,36.0,,57030.3,,m,False,0.0
False,0.25,9676.13,60.0,,110033.69,scor,f,True,0.0
,,,,,,,,,
False,0.47,5012.52,36.0,10000.0,36042.78,,f,True,0.0
False,0.46,5624.77,36.0,32545.0,32024.31,cance,m,False,0.0
False,0.22,8887.29,36.0,0.0,26009.81,pisce,m,True,0.0
False,0.4,6310.89,36.0,,38428.11,,m,True,0.0
False,0.36,10032.96,36.0,0.0,29827.74,gemi,f,,0.0
False,0.22,8015.39,36.0,30214.0,155028.98,virg,m,False,0.0
False,0.37,6013.25,36.0,,65026.37,,m,False,0.0
,0.28,25018.81,60.0,0.0,85011.77,,,True,0.0
False,0.25,20008.03,60.0,32865.0,93028.86,cance,m,True,0.0
False,0.35,20037.54,36.0,6500.0,74012.86,gemi,f,False,0.0
False,0.26,11111.39,36.0,,32014.31,pisce,f,False,0.0
False,0.27,10023.27,60.0,27222.0,50031.88,virg,m,True,0.0
,0.28,26420.07,60.0,32865.0,60039.63,,f,False,0.0
False,0.1,4019.15,36.0,,48025.18,pisce,f,False,0.0
False,0.18,24020.42,60.0,113600.0,151213.77,virg,m,True,0.0
False,0.21,3519.37,36.0,,40021.39,,m,False,0.0
True,0.25,32013.92,60.0,,182037.05,sagi,m,True,0.0
,,,,,,taur,,,
False,0.13,19222.75,36.0,39400.0,115019.1,aqua,m,False,0.0
False,0.48,4750.53,36.0,89588.0,63424.09,,f,False,0.0
False,0.25,16006.59,60.0,,60019.77,arie,f,False,0.0
False,0.32,6650.81,36.0,0.0,23034.62,virg,m,False,0.0
False,0.32,4021.68,36.0,,121005.78,pisce,f,True,0.0
False,0.34,4908.69,36.0,,42014.84,capr,m,False,0.0
,0.31,35010.71,60.0,0.0,97035.67,cance,,True,0.0
True,0.3,5015.56,36.0,,56405.95,aqua,m,False,0.0
False,0.31,15003.6,60.0,80157.0,136559.19,virg,f,True,0.0
False,0.36,6020.43,60.0,,48023.16,libr,f,False,0.0
False,0.38,10019.41,36.0,31626.0,65012.62,arie,m,True,0.0
False,0.25,8171.43,36.0,,21021.58,aqua,f,False,0.0
False,0.26,6011.73,36.0,0.0,113040.86,capr,m,False,0.0
False,0.1,20015.43,36.0,29523.0,60013.63,,m,True,0.0
,0.39,20687.57,60.0,53242.0,65018.54,scor,,True,0.0
True,0.28,11911.29,36.0,50988.0,80444.72,libr,m,False,0.0
False,0.39,12020.18,36.0,,87513.54,libr,m,True,0.0
False,0.32,17514.28,60.0,,51024.18,libr,f,False,0.0
,0.31,22020.14,60.0,40703.0,60027.87,,,False,0.0
True,0.21,18982.58,36.0,,49032.02,libr,m,False,0.0
False,0.54,29193.53,60.0,31860.0,65014.61,pisce,f,,0.0
False,0.47,24011.93,36.0,61717.0,105032.17,,f,False,0.0
False,0.39,32013.12,60.0,57148.0,80036.9,capr,m,False,0.0
False,0.28,8010.32,36.0,5800.0,47020.43,libr,m,False,0.0
False,0.36,15013.45,36.0,8000.0,75010.57,,f,False,0.0
False,0.53,4152.23,36.0,41555.0,55021.64,capr,m,True,0.0
False,0.21,18020.41,36.0,96040.0,85017.83,,f,False,0.0
True,0.21,8515.55,36.0,,75012.59,scor,f,False,0.0
False,0.3,6029.76,36.0,50132.0,85016.28,cance,m,,0.0
False,0.34,14428.45,36.0,11663.0,100019.71,aqua,f,False,0.0
False,0.21,8022.29,36.0,46490.0,68027.51,gemi,m,True,0.0
True,0.18,12902.8,36.0,15948.0,49021.08,gemi,m,False,0.0
False,0.39,35038.1,60.0,9193.0,197012.55,libr,m,False,0.0
False,0.31,10037.04,36.0,148399.0,132026.31,,m,False,0.0
False,0.25,10010.99,36.0,0.0,29018.31,cance,m,True,0.0
False,0.31,18014.81,60.0,,60020.16,libr,m,True,0.0
False,0.29,5312.27,36.0,,40045.59,virg,m,True,0.0
False,0.32,18018.47,36.0,25923.0,97027.12,libr,m,True,0.0
False,0.35,20040.56,36.0,0.0,59712.39,arie,m,,0.0
False,0.21,20020.47,36.0,58086.0,49636.28,,f,False,0.0
True,0.36,9776.16,36.0,,21646.11,capr,m,False,0.0
False,0.33,17550.31,36.0,,78518.34,,m,False,0.0
False,0.22,20681.2,36.0,94638.0,168010.44,libr,m,True,0.0
False,0.45,7773.68,36.0,24431.0,24022.08,virg,f,False,0.0
False,0.17,18030.27,36.0,31743.0,103239.11,,m,False,0.0
False,0.28,3012.58,36.0,0.0,23021.63,leo,f,False,0.0
True,0.34,17494.58,36.0,21543.0,53799.62,gemi,f,False,0.0
False,0.13,20025.12,36.0,749.0,91111.28,arie,,False,0.0
,0.22,25022.96,60.0,35071.0,75038.18,capr,,False,0.0
True,0.28,17270.16,60.0,33534.0,42029.37,pisce,m,True,0.0
False,0.4,9009.97,36.0,11459.0,50017.57,cance,m,False,0.0
True,0.29,5005.87,36.0,,65018.56,scor,m,True,0.0
False,0.24,12036.56,36.0,21487.0,35036.61,capr,m,False,0.0
True,0.16,7307.24,36.0,,52016.53,pisce,f,True,0.0
True,0.22,20018.19,60.0,,42035.52,cance,f,True,0.0
False,0.31,16031.32,36.0,,110015.84,libr,m,,0.0
False,0.26,12016.5,36.0,,57235.7,,m,False,0.0
False,0.62,10815.04,36.0,42962.0,42015.77,pisce,m,True,0.0
False,0.24,3038.15,36.0,,45015.05,scor,m,True,0.0
False,0.26,20569.14,36.0,28216.0,46001.14,leo,m,False,0.0
False,0.4,35029.22,60.0,28022.0,108057.13,libr,m,False,0.0
True,0.31,23866.82,60.0,28025.0,54010.79,taur,,True,0.0
False,0.2,8026.72,36.0,27677.0,30009.46,cance,m,True,0.0
True,0.19,10053.65,36.0,,30009.91,,m,False,0.0
False,0.24,14619.66,36.0,0.0,41431.82,,m,True,0.0
False,0.21,3020.25,36.0,,26425.29,arie,m,True,0.0
False,0.26,8893.47,36.0,0.0,27463.47,,m,False,0.0
False,0.42,9022.19,36.0,24337.0,73018.56,,f,True,0.0
False,0.25,15014.43,36.0,15664.0,97011.12,cance,m,True,0.0
False,0.39,35030.83,36.0,39797.0,80018.93,arie,m,True,0.0
True,0.21,8019.6,36.0,,25032.99,aqua,m,False,0.0
False,0.42,4019.35,36.0,26216.0,30040.81,arie,f,False,0.0
False,0.26,16005.55,36.0,0.0,95024.61,,m,False,0.0
False,0.5,12017.43,36.0,0.0,56021.15,libr,m,,0.0
False,0.36,11522.01,36.0,10686.0,35047.02,leo,m,False,0.0
False,0.43,26516.46,60.0,0.0,60037.57,,f,False,0.0
False,0.25,2425.84,36.0,,38424.1,,f,False,0.0
False,0.39,5027.02,60.0,,50028.53,aqua,m,False,0.0
False,0.2,15020.08,60.0,26917.0,51018.74,,m,False,0.0
False,0.31,17020.13,36.0,30094.0,115016.04,,m,False,0.0
False,0.36,7030.62,36.0,30612.0,40028.78,,f,True,0.0
False,0.36,29018.19,60.0,,96011.25,,m,False,0.0
False,0.28,12031.65,36.0,0.0,64022.31,leo,m,False,0.0
False,0.2,10023.91,36.0,0.0,72021.93,scor,m,,0.0
False,0.29,16021.52,36.0,0.0,85039.39,cance,f,True,0.0
,0.29,16021.04,60.0,29645.0,65018.72,,,False,0.0
False,0.43,20020.55,60.0,,60005.95,libr,m,False,0.0
True,0.63,30031.39,60.0,,80024.35,taur,m,True,0.0
False,0.31,8036.34,36.0,65349.0,105134.27,cance,m,False,0.0
False,0.25,7010.59,36.0,19554.0,48010.05,,m,False,0.0
,0.25,17623.02,60.0,0.0,99023.58,taur,,False,0.0
False,0.46,19213.27,60.0,42392.0,73037.62,capr,m,True,0.0
False,0.16,18031.9,60.0,,130034.12,,m,False,0.0
False,0.41,22522.71,60.0,29539.0,51038.49,libr,f,False,0.0
,0.42,15530.52,60.0,13751.0,62030.88,arie,,False,0.0
False,0.08,3009.07,36.0,,103018.95,libr,m,,0.0
False,0.3,9221.79,36.0,38572.0,47008.36,virg,m,False,0.0
False,0.27,10012.82,36.0,41032.0,78032.05,scor,,False,0.0
False,0.18,23022.61,36.0,19906.0,65019.31,,m,False,0.0
False,0.39,20025.48,60.0,42168.0,174011.98,scor,m,False,0.0
True,0.6,10023.28,36.0,28033.0,65012.48,,f,True,0.0
False,0.29,1517.82,36.0,3500.0,24616.53,,m,False,0.0
True,0.43,6374.8,36.0,30140.0,41025.18,leo,m,True,0.0
,0.37,23516.81,60.0,32047.0,70013.53,,,True,0.0
False,0.45,10011.53,36.0,18500.0,71014.7,libr,m,False,0.0
False,0.34,2419.86,36.0,72921.0,160025.81,capr,m,False,0.0
False,0.39,18007.69,36.0,16099.0,50033.4,,f,False,0.0
False,0.17,22016.5,36.0,23455.0,61520.02,,m,False,0.0
False,0.28,18016.57,36.0,41298.0,64021.77,scor,m,False,0.0
False,0.19,15022.3,36.0,,85052.35,,m,False,0.0
True,0.1,4508.47,36.0,,60029.16,leo,m,,0.0
False,0.2,24031.02,36.0,0.0,95312.96,aqua,m,False,0.0
False,0.41,16019.15,36.0,48530.0,47281.63,virg,f,False,0.0
False,0.28,7212.21,36.0,0.0,32016.0,,m,True,0.0
False,0.26,8420.57,36.0,24721.0,41026.57,,m,False,0.0
False,0.16,10014.97,36.0,64286.0,72026.24,aqua,f,False,0.0
False,0.33,13292.2,36.0,,28018.94,libr,m,False,0.0
False,0.26,3156.04,36.0,,48039.75,,m,False,0.0
False,0.27,10015.98,36.0,15292.0,91019.2,,m,False,0.0
True,0.23,4016.75,36.0,7500.0,33012.84,,m,True,0.0
False,0.28,11531.52,36.0,43970.0,34013.09,,f,True,0.0
False,0.21,9622.02,36.0,,154030.08,libr,m,False,0.0
True,0.43,18023.64,60.0,55273.0,145023.1,cance,m,True,0.0
False,0.27,35014.99,36.0,26867.0,90023.32,,m,False,0.0
False,0.14,1216.84,36.0,657.0,23007.66,,f,False,0.0
False,0.31,24015.74,36.0,30308.0,120030.69,cance,f,False,0.0
False,0.31,15006.0,36.0,8005.0,77012.06,virg,m,False,0.0
,0.28,24394.97,60.0,,48919.76,pisce,,False,0.0
False,0.07,12005.79,36.0,160530.0,78023.95,cance,m,False,0.0
False,0.25,11929.67,60.0,,61023.12,arie,,True,0.0
True,0.24,6018.48,36.0,44428.0,51034.64,pisce,f,False,0.0
False,0.25,11526.83,36.0,77069.0,80035.76,cance,m,False,0.0
False,0.23,15024.59,36.0,57658.0,75022.89,scor,f,False,0.0
False,0.43,8469.63,36.0,30916.0,50021.94,,m,False,0.0
False,0.31,15024.08,36.0,0.0,50029.36,gemi,m,True,0.0
False,0.41,4825.32,36.0,,97034.1,cance,f,True,0.0
True,0.24,8901.49,36.0,25038.0,31039.07,cance,,False,0.0
False,0.2,5423.93,36.0,,33622.02,,f,False,0.0
False,0.56,35023.37,36.0,82924.0,87018.5,taur,f,False,0.0
False,0.39,4229.05,36.0,,65014.99,,f,True,0.0
False,0.09,15010.84,36.0,0.0,75014.17,cance,m,False,0.0
False,0.25,26532.48,36.0,,75047.71,arie,f,False,0.0
False,0.12,28053.16,36.0,49731.0,162014.05,,f,False,0.0
False,0.31,24022.77,36.0,,115028.22,,m,True,0.0
False,0.24,20026.34,36.0,64001.0,75030.02,libr,m,True,0.0
False,0.34,24024.57,60.0,58839.0,140035.43,,m,False,0.0
True,0.27,22077.21,60.0,20218.0,62015.18,,m,False,0.0
False,0.23,10041.46,36.0,18027.0,98020.87,,m,False,0.0
False,0.25,9274.31,36.0,5163.0,26920.1,,m,False,0.0
False,0.34,20008.28,60.0,,130035.59,cance,m,,0.0
False,0.28,4275.72,36.0,,43029.2,gemi,f,False,0.0
True,0.36,18027.37,60.0,0.0,48017.21,arie,m,True,0.0
False,0.14,9008.67,36.0,10382.0,45022.61,virg,m,True,0.0
True,0.25,18022.5,36.0,24701.0,185009.72,leo,,True,0.0
False,0.33,2033.53,36.0,10440.0,30024.14,arie,m,False,0.0
False,0.25,12031.22,36.0,23708.0,61823.67,virg,m,False,0.0
True,0.28,9516.46,36.0,,89033.31,,f,True,0.0
False,0.28,25022.82,36.0,,60020.71,,m,True,0.0
False,0.36,19781.33,36.0,79233.0,91022.82,,m,True,0.0
False,0.51,8022.34,36.0,,91025.17,libr,f,,0.0
False,0.39,35018.83,36.0,22499.0,92029.22,,f,False,0.0
True,0.2,21986.86,60.0,32876.0,50022.82,cance,m,True,0.0
False,0.3,8894.49,36.0,30494.0,40011.56,gemi,m,False,0.0
False,0.26,16023.49,36.0,5000.0,80034.52,cance,f,False,0.0
False,0.28,10017.98,36.0,66466.0,97880.1,cance,f,True,0.0
False,0.33,25035.94,36.0,9803.0,70020.45,sagi,f,True,0.0
False,0.24,10028.59,60.0,66315.0,65532.96,virg,m,True,0.0
,0.19,10812.12,60.0,27617.0,132026.83,,,True,0.0
False,0.26,21038.14,36.0,0.0,300010.74,aqua,m,False,0.0
True,0.21,21270.54,60.0,57093.0,48026.26,,f,False,0.0
False,0.42,7138.56,36.0,0.0,47810.34,gemi,f,False,0.0
False,0.41,4827.03,36.0,0.0,24029.82,,m,False,0.0
,,,,,,,m,False,
False,0.21,8426.71,36.0,,108029.17,,f,False,0.0
False,0.28,5016.33,36.0,50401.0,90041.43,,f,False,1.0
False,0.25,25044.05,36.0,,96662.15,aqua,f,True,0.0
False,0.34,18022.5,36.0,0.0,75015.4,,m,True,0.0
False,0.34,14011.93,36.0,,70032.33,aqua,m,False,0.0
False,0.2,10030.03,36.0,38383.0,45033.94,libr,f,False,0.0
False,0.33,11415.75,36.0,39967.0,78020.81,pisce,f,True,0.0
False,0.31,7208.74,36.0,0.0,40019.47,scor,m,True,0.0
False,0.13,6015.14,36.0,,45035.5,virg,m,False,0.0
False,0.25,16035.6,36.0,0.0,55027.42,aqua,m,False,0.0
False,0.3,6822.57,36.0,,41233.84,leo,m,True,0.0
False,0.33,11019.68,36.0,24439.0,40026.96,scor,m,True,0.0
False,0.25,11327.52,36.0,18500.0,43022.07,cance,m,False,0.0
False,0.37,30025.4,60.0,42839.0,100019.29,,m,True,0.0
True,0.44,7022.29,60.0,,30737.31,arie,m,,0.0
False,0.31,30012.73,36.0,34889.0,85027.88,,m,False,0.0
True,0.32,6034.84,36.0,,70011.53,,m,True,0.0
False,0.55,30028.09,36.0,45405.0,84027.46,,f,False,0.0
False,0.25,7824.68,36.0,,48028.71,capr,m,,0.0
False,0.32,29517.85,60.0,43349.0,92014.47,arie,f,False,0.0
False,0.25,5025.26,36.0,9600.0,51012.83,taur,m,False,0.0
False,0.18,9953.11,36.0,0.0,54933.16,gemi,f,True,0.0
,0.33,22035.88,60.0,23690.0,55020.64,,,False,0.0
False,0.22,16012.39,36.0,30628.0,103023.67,,f,False,0.0
False,0.27,30019.13,60.0,90833.0,136015.16,capr,f,True,0.0
False,0.18,16023.6,36.0,2625.0,55014.12,scor,,False,0.0
False,0.44,35034.72,36.0,12269.0,89033.61,gemi,m,False,0.0
False,0.08,18012.73,36.0,13415.0,75024.76,taur,m,True,0.0
False,0.38,18020.96,60.0,10000.0,40026.52,arie,,False,0.0
True,0.32,8917.45,60.0,,77020.14,capr,m,False,0.0
False,0.16,8898.54,36.0,,62263.07,cance,f,True,0.0
False,0.16,25011.2,60.0,47638.0,75025.34,,f,True,0.0
True,0.37,25616.68,60.0,46000.0,72031.68,sagi,m,True,0.0
False,0.2,4532.07,36.0,,72028.22,,f,False,0.0
True,0.3,20006.03,60.0,,55019.87,capr,m,False,0.0
False,0.37,12035.79,36.0,,95043.53,libr,f,False,0.0
,0.34,8144.48,60.0,140254.0,180023.59,cance,,,0.0
False,0.35,5707.58,36.0,34542.0,108220.63,libr,m,False,0.0
,0.43,35012.71,60.0,30000.0,120020.07,capr,,False,0.0
False,0.33,6283.44,60.0,,43032.8,cance,f,False,0.0
True,0.34,14850.22,36.0,20252.0,68529.57,leo,m,True,0.0
False,0.15,15020.04,36.0,,150033.93,,m,True,0.0
True,0.48,16758.65,36.0,36886.0,62022.01,capr,m,False,0.0
False,0.03,25017.93,36.0,9972.0,61013.4,pisce,m,True,0.0
False,0.25,5013.62,36.0,22058.0,53026.86,,m,True,0.0
False,0.3,25464.7,36.0,90789.0,108025.63,gemi,f,True,0.0
True,0.32,17415.79,60.0,54070.0,68015.62,sagi,f,False,0.0
True,0.5,4030.1,36.0,5044.0,34711.4,leo,,False,0.0
False,0.26,5029.67,60.0,34023.0,30730.94,leo,f,False,0.0
False,0.22,21025.89,36.0,29547.0,90015.22,virg,f,False,0.0
False,0.26,10026.66,36.0,,47216.76,libr,m,True,0.0
True,0.44,12040.72,60.0,0.0,55034.35,sagi,m,False,0.0
False,0.3,5513.22,36.0,0.0,75026.96,capr,m,,1.0
False,0.13,1116.74,36.0,,31690.57,,m,True,0.0
False,0.47,5235.65,36.0,44646.0,120022.86,scor,m,True,0.0
False,0.38,16019.43,60.0,23442.0,45795.92,capr,m,False,0.0
False,0.5,27071.85,36.0,,55041.86,,m,,0.0
False,0.34,3520.58,36.0,,67018.01,virg,m,True,0.0
,0.45,10571.12,60.0,42250.0,41385.09,libr,,,0.0
False,0.52,8009.7,36.0,,52021.22,,m,False,0.0
False,0.28,7428.65,36.0,37500.0,28028.14,libr,f,True,0.0
True,0.52,8015.96,36.0,16606.0,42026.23,arie,f,False,0.0
False,0.21,10022.49,36.0,,119026.24,,m,True,0.0
False,0.35,12744.3,36.0,79153.0,53022.9,cance,m,True,0.0
False,0.32,9020.9,60.0,,50014.47,pisce,f,False,0.0
False,0.32,2783.85,36.0,39084.0,56018.05,,f,False,0.0
True,0.32,14024.21,36.0,21812.0,100007.85,gemi,f,True,0.0
False,0.31,15020.91,36.0,,79215.69,virg,f,False,0.0
False,0.18,18018.76,60.0,,60031.31,arie,m,True,0.0
False,0.22,7509.56,60.0,,106023.28,virg,m,True,0.0
False,0.26,9218.57,36.0,23653.0,75017.34,sagi,m,,0.0
,0.27,20007.23,60.0,0.0,55012.63,virg,,,0.0
False,0.28,6018.75,60.0,,34022.07,,m,False,0.0
False,0.42,2011.23,36.0,0.0,16008.14,libr,m,True,0.0
True,0.35,8515.49,36.0,43087.0,46588.87,,f,True,0.0
True,0.19,12026.79,36.0,50339.0,68034.89,cance,f,,0.0
False,0.15,3617.32,36.0,,30023.28,,f,,0.0
True,0.31,12715.71,36.0,0.0,40520.62,scor,f,True,0.0
False,0.35,5026.17,36.0,21575.0,75039.23,sagi,m,False,0.0
False,0.35,16581.61,36.0,0.0,62027.85,pisce,m,False,0.0
False,0.26,21037.43,36.0,75000.0,178028.18,arie,m,True,0.0
False,0.23,2119.38,36.0,,60013.5,,m,True,0.0
True,0.36,8031.79,36.0,,33015.12,sagi,f,,0.0
False,0.43,15012.5,36.0,40609.0,49031.16,,m,False,0.0
False,0.08,7024.1,36.0,,54014.92,virg,f,,0.0
False,0.31,35038.28,36.0,199753.0,140022.74,gemi,m,False,0.0
False,0.17,10031.05,36.0,48052.0,69019.19,,f,,0.0
False,0.28,7221.96,36.0,20454.0,75011.43,,m,False,0.0
True,0.37,35013.63,60.0,35067.0,99217.67,cance,m,False,0.0
True,0.23,9972.35,36.0,0.0,30039.21,,m,True,0.0
False,0.27,1027.88,36.0,0.0,25719.66,capr,f,False,0.0
False,0.29,12010.28,36.0,13372.0,81922.26,cance,m,False,0.0
,0.49,19769.74,60.0,40882.0,59044.42,,m,False,0.0
False,0.19,6028.1,36.0,,50017.36,libr,m,True,0.0
False,0.2,3259.48,36.0,0.0,12494.65,cance,f,False,0.0
False,0.35,6296.05,36.0,25936.0,36014.01,,f,False,0.0
False,0.16,9821.97,36.0,0.0,94022.39,taur,f,True,0.0
True,0.34,4046.25,36.0,30237.0,40020.57,virg,m,False,0.0
False,0.12,19096.63,36.0,43718.0,43209.3,arie,m,True,0.0
False,0.35,12037.32,36.0,,45018.84,,f,True,0.0
True,0.28,8519.5,36.0,27218.0,27004.37,,f,True,0.0
True,0.06,10045.22,36.0,,21015.47,,f,True,0.0
False,0.27,16024.87,36.0,14075.0,195006.79,capr,m,False,0.0
False,0.31,9022.49,36.0,,55031.2,,f,False,0.0
False,0.35,17219.21,60.0,,44042.41,,m,True,0.0
